# AEB Small 100 SGF Manifest

Selection rule: sort every .sgf member in games.tgz lexicographically by archive path,
then keep the first 100 files that replay with status ok under VantaGo diagnostics.
Selected SGF bytes are committed unchanged under stable local filenames; source_path
records the original archive path for provenance.

archive_members_scanned_for_selection: 100
selected_files: 100
total_moves_replayed: 20065
skipped_during_selection:
  none

files:
id	file	source_path	event	round	black	white	result	date	moves	bytes	sha256
aeb-small-0023	sgf/aeb-small-0023.sgf	games/AJ1st/01/3.sgf	1st All Japan #1	1	Ishii Kunio	Fujisawa Shuko	W+R	1969	178	1192	c9193cfd5e16274f7372b41da3ab7d58c1f1f1e96beab5fe7b3c465b31f4b415
aeb-small-0024	sgf/aeb-small-0024.sgf	games/AJ1st/01/30.sgf	1st All Japan #1	2	Sugiuchi Masao	Fujisawa Hosai	B+2.5	1969-08-20	245	1612	1a9796a11b58e982228c231c486b9e70fd1ef1f89d5814896b9a8e26390952ea
aeb-small-0025	sgf/aeb-small-0025.sgf	games/AJ1st/01/31.sgf	1st All Japan #1	3	Kudo Norio	Kurosawa Tadanao	W+7.5	1969-08-21	269	1756	5bafbf9bef657fb6c7196064e51e890e37f828d67c8d596e0e18712232e01e57
aeb-small-0026	sgf/aeb-small-0026.sgf	games/AJ1st/01/4.sgf	1st All Japan #1	1	Shimamura Toshihiro	Ishida Yoshio	W+4.5	1969-04-03	215	1440	ce003a20f32f72f7ed11ed5bdf6a5e9807203d4f4a03a52fb79c0b8f0570e8fb
aeb-small-0027	sgf/aeb-small-0027.sgf	games/AJ1st/01/5.sgf	1st All Japan #1	1	Iwata Tatsuaki	Ohira Shuzo	W+3.5	1969	247	1615	2a99ea358add04f7f166a12242ad1eeb19dd813cc40f4290270d7aa43dcda997
aeb-small-0028	sgf/aeb-small-0028.sgf	games/AJ1st/01/6.sgf	1st All Japan #1	2	Hashimoto Shoji	Hashimoto Yoshimi	B+R	1969	123	864	1218b06c9123e35969323dbd3591b5b9b0dff6ed73b11522f1271bda30c26d9d
aeb-small-0029	sgf/aeb-small-0029.sgf	games/AJ1st/01/7.sgf	1st All Japan #1	1	Takagawa Shukaku	Maeda Nobuaki	W+R	1969-02-06	146	1007	ea3db0839701a0ab34fd2698b0ddedb9217397262625c2df7a134c166c9b69aa
aeb-small-0030	sgf/aeb-small-0030.sgf	games/AJ1st/01/8.sgf	1st All Japan #1	2	Sakata Eio	Kageyama Toshiro	W+2.5	1969-05-07	233	1537	f200bb3790e808e9272ed0bb6d8cf25b4c427596e35f3c6f33b7bc5ac4c0d4f1
aeb-small-0031	sgf/aeb-small-0031.sgf	games/AJ1st/01/9.sgf	1st All Japan #1	2	Chino Tadahiko	Fujisawa Shuko	W+R	1969-07-10	154	1055	c5510799266ab4f095b9e01d706718beeaddc59f476edb76a49d750561ae0dea
aeb-small-0032	sgf/aeb-small-0032.sgf	games/AJ1st/01/F1.sgf	1st All Japan #1 Title	1	Otake Hideo	Fujisawa Shuko	W+0.5	1970-02-12	237	1566	cb8c08412c96a3d42622219f8db88d6cdb0d191b6c8d06e844e48c6e41f0879e
aeb-small-0033	sgf/aeb-small-0033.sgf	games/AJ1st/01/F2.sgf	1st All Japan #1 Title	2	Fujisawa Shuko	Otake Hideo	W+R	1970-02-19	192	1290	1cd460ebfaa016625cb98dae1e72b8e8b2c1ba67f2898335c95d053718cd4809
aeb-small-0034	sgf/aeb-small-0034.sgf	games/AJ1st/01/F3.sgf	1st All Japan #1 Title	3	Otake Hideo	Fujisawa Shuko	B+R	1970-03-05	157	1076	04968ba182efad940f2d339476e7aa215080ef48aead57e3f70f2bfe8e2625e4
aeb-small-0035	sgf/aeb-small-0035.sgf	games/AJ1st/01/P01.sgf	1st All Japan #1	Last Preliminary	Haruyama Isamu	Tozawa Akinobu	B+R	1968-10-02	195	1320	b399b85cf4708b0cf0173b145dbebef74d121de2679cf7cbb8076109753fcc46
aeb-small-0036	sgf/aeb-small-0036.sgf	games/AJ1st/01/P02.sgf	1st All Japan #1	Last Preliminary	Nishigami Yoshihiko	Kajiwara Takeo	W+12.5	1968-10-10	286	1905	5537bdf5ea57c50dd1b7a769959a3cb696c1afce3469bcd035237a770bdcf5d5
aeb-small-0037	sgf/aeb-small-0037.sgf	games/AJ1st/01/P03.sgf	1st All Japan #1	Last Preliminary	Iwata Tatsuaki	Sakakibara Shoji	B+R	1968-10-10	171	1176	6750e43bee27bfc5a946d82ddf2a84058e427dc65bad732e8ff99d7adbe418d7
